Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
42,"<td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>","<td><a class=""mw-redirect"" href=""/wiki/Iridium_NEXT"" title=""Iridium NEXT"">Iridium NEXT</a>-3<br/>(10 satellites)<sup class=""reference"" id=""cite_ref-sdc20100616_160-1""><a href=""#cite_note-sdc20100616-160"">[152]</a></sup>
</td>","9,600 kg","<td><a href=""/wiki/Polar_orbit"" title=""Polar orbit"">Polar</a> <a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>","Success
",F9 B4,Success,9 October 2017,12:37
43,"<td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>","<td><a href=""/wiki/List_of_SES_satellites"" title=""List of SES satellites"">SES-11</a> / <a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar 105</a>
</td>","5,200 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><div class=""plainlist"">
<ul><li><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES S.A.</a></li>
<li><a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar</a></li></ul>
</div>
</td>","Success
",F9 FTB1031.2,Success,11 October 2017,22:53:00
44,"<td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>","<td><a href=""/wiki/Koreasat_5A"" title=""Koreasat 5A"">Koreasat 5A</a><sup class=""reference"" id=""cite_ref-spacenews20140512_230-0""><a href=""#cite_note-spacenews20140512-230"">[222]</a></sup>
</td>","3,500 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/KT_Corporation"" title=""KT Corporation"">KT Corporation</a>
</td>","Success
",F9 B4,Success,30 October 2017,19:34
45,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-13"" title=""SpaceX CRS-13"">SpaceX CRS-13</a><sup class=""reference"" id=""cite_ref-spn-20160224_148-4""><a href=""#cite_note-spn-20160224-148"">[141]</a></sup><br/>(Dragon C108.2 ♺)
</td>","2,205 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 FTB1035.2,Success,15 December 2017,15:36
46,"<td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>","<td><a class=""mw-redirect"" href=""/wiki/Iridium_NEXT"" title=""Iridium NEXT"">Iridium NEXT</a>-4<br/>(10 satellites)<sup class=""reference"" id=""cite_ref-sdc20100616_160-2""><a href=""#cite_note-sdc20100616-160"">[152]</a></sup>
</td>","9,600 kg","<td><a href=""/wiki/Polar_orbit"" title=""Polar orbit"">Polar</a> <a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>",Success,F9 FTB1036.2,Controlled,23 December 2017,01:27
47,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a><br/>
</td>","<td><a href=""/wiki/Zuma_(satellite)"" title=""Zuma (satellite)"">Zuma</a><sup class=""reference"" id=""cite_ref-zuma_246-1""><a href=""#cite_note-zuma-246"">[238]</a></sup><sup class=""reference"" id=""cite_ref-247""><a href=""#cite_note-247"">[239]</a></sup><sup class=""reference"" id=""cite_ref-248""><a href=""#cite_note-248"">[240]</a></sup>
</td>",C,"<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/Northrop_Grumman"" title=""Northrop Grumman"">Northrop Grumman</a> <sup class=""reference"" id=""cite_ref-249""><a href=""#cite_note-249"">[f]</a></sup><sup class=""reference"" id=""cite_ref-zuma_246-2""><a href=""#cite_note-zuma-246"">[238]</a></sup>
</td>",Success,F9 B4,Success,8 January 2018,01:00
48,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SES-16"" title=""SES-16"">GovSat-1</a> (SES-16)<sup class=""reference"" id=""cite_ref-ses20150225_255-0""><a href=""#cite_note-ses20150225-255"">[246]</a></sup>
</td>","4,230 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>",Success,F9 FTB1032.2,Controlled,31 January 2018,21:25
49,"<td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>","<td><div class=""plainlist"">
<ul><li><a href=""/wiki/Paz_(satellite)"" title=""Paz (satellite)"">Paz</a><sup class=""reference"" id=""cite_ref-paz_278-0""><a href=""#cite_note-paz-278"">[269]</a></sup></li>
<li><a href=""/wiki/Starlink"" title=""Starlink"">Tintin A and Tintin B</a><sup class=""reference"" id=""cite_ref-gunter-microsat2_279-0""><a href=""#cite_note-gunter-microsat2-279"">[270]</a></sup></li></ul>
</div>
</td>","2,150 kg","<td><a href=""/wiki/Sun-synchronous_orbit"" title=""Sun-synchronous orbit"">SSO</a>
</td>","<td><div class=""plainlist"">
<ul><li><a href=""/wiki/Hisdesat"" title=""Hisdesat"">Hisdesat</a></li>
<li><a href=""/wiki/ExactEarth"" title=""ExactEarth"">exactEarth</a></li>
<li><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a></li></ul>
</div>
</td>",Success,F9 FTB1038.2,No attempt,22 February 2018,14:17
50,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><div class=""plainlist"">
<ul><li><a href=""/wiki/Hispasat_30W-6"" title=""Hispasat 30W-6"">Hispasat 30W-6</a><sup class=""reference"" id=""cite_ref-spx20150914_286-0""><a href=""#cite_note-spx20150914-286"">[277]</a></sup></li>
<li>PODSat<sup class=""reference"" id=""cite_ref-287""><a href=""#cite_note-287"">[278]</a></sup></li></ul>
</div>
</td>","6,092 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><div class=""plainlist"">
<ul><li><a href=""/wiki/Hispasat"" title=""Hispasat"">Hispasat</a><sup class=""reference"" id=""cite_ref-spx20150914_286-1""><a href=""#cite_note-spx20150914-286"">[277]</a></sup></li>
<li><a href=""/wiki/NovaWurks"" title=""NovaWurks"">NovaWurks</a></li></ul>
</div>
</td>",Success,F9 B4,No attempt,6 March 2018,05:33
51,"<td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>","<td><a class=""mw-redirect"" href=""/wiki/Iridium_NEXT"" title=""Iridium NEXT"">Iridium NEXT</a>-5<br/>(10 satellites)<sup class=""reference"" id=""cite_ref-sdc20100616_160-3""><a href=""#cite_note-sdc20100616-160"">[152]</a></sup>
</td>","9,600 kg","<td><a href=""/wiki/Polar_orbit"" title=""Polar orbit"">Polar</a> <a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>",Success,F9 B4B1041.2,No attempt,30 March 2018,14:14
52,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-14"" title=""SpaceX CRS-14"">SpaceX CRS-14</a><sup class=""reference"" id=""cite_ref-spn-20160224_148-5""><a href=""#cite_note-spn-20160224-148"">[141]</a></sup><br/>(Dragon C110.2 ♺)
</td>","2,647 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,F9 B4B1039.2,No attempt,2 April 2018,20:30
53,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Transiting_Exoplanet_Survey_Satellite"" title=""Transiting Exoplanet Survey Satellite"">Transiting Exoplanet Survey Satellite</a> (TESS)<sup class=""reference"" id=""cite_ref-NASA_C14_313-0""><a href=""#cite_note-NASA_C14-313"">[304]</a></sup>
</td>",362 kg,"<td><a href=""/wiki/High_Earth_orbit"" title=""High Earth orbit"">HEO</a> for <a class=""mw-redirect"" href=""/wiki/P/2_orbit"" title=""P/2 orbit"">P/2 orbit</a>
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Launch_Services_Program"" title=""Launch Services Program"">LSP</a>)
</td>",Success,F9 B4,Success,18 April 2018,22:51
54,"<td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>","<td><a href=""/wiki/Bangabandhu-1"" title=""Bangabandhu-1"">Bangabandhu-1</a><sup class=""reference"" id=""cite_ref-dhakatribune_321-0""><a href=""#cite_note-dhakatribune-321"">[312]</a></sup><sup class=""reference"" id=""cite_ref-gunter-bd1_322-0""><a href=""#cite_note-gunter-bd1-322"">[313]</a></sup>
</td>","3,600 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/Thales_Alenia_Space"" title=""Thales Alenia Space"">Thales-Alenia</a> / <a href=""/wiki/Bangladesh_Telecommunication_Regulatory_Commission"" title=""Bangladesh Telecommunication Regulatory Commission"">BTRC</a>
</td>",Success,F9 B5B1046.1,Success,11 May 2018,20:14
55,"<td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>","<td><div class=""plainlist"">
<ul><li><a class=""mw-redirect"" href=""/wiki/Iridium_NEXT"" title=""Iridium NEXT"">Iridium NEXT</a>-6<br/>(5 satellites)<sup class=""reference"" id=""cite_ref-sdc20100616_160-4""><a href=""#cite_note-sdc20100616-160"">[152]</a></sup><sup class=""reference"" id=""cite_ref-IridiumridesharePR_163-1""><a href=""#cite_note-IridiumridesharePR-163"">[155]</a></sup></li>
<li><span class=""nowrap""><a class=""mw-redirect"" href=""/wiki/GRACE-FO"" title=""GRACE-FO"">GRACE-FO</a> × 2</span><sup class=""reference"" id=""cite_ref-iridium-rideshare_332-0""><a href=""#cite_note-iridium-rideshare-332"">[323]</a></sup><sup class=""reference"" id=""cite_ref-grace-fo-launch_333-0""><a href=""#cite_note-grace-fo-launch-333"">[324]</a></sup></li></ul>
</div>
</td>","6,460 kg","<td><a href=""/wiki/Polar_orbit"" title=""Polar orbit"">Polar</a> <a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><div class=""plainlist"">
<ul><li><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a></li>
<li><a href=""/wiki/GFZ_German_Research_Centre_for_Geosciences"" title=""GFZ German Research Centre for Geosciences"">GFZ</a> • <a href=""/wiki/NASA"" title=""NASA"">NASA</a></li></ul>
</div>
</td>",Success,F9 B4B1043.2,No attempt,22 May 2018,19:47
56,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SES-12"" title=""SES-12"">SES-12</a><sup class=""reference"" id=""cite_ref-SES12_341-0""><a href=""#cite_note-SES12-341"">[331]</a></sup>
</td>","5,384 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>",Success,F9 B4B1040.2,No attempt,4 June 2018,04:45
57,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-15"" title=""SpaceX CRS-15"">SpaceX CRS-15</a><br/>(Dragon C111.2 ♺)
</td>","2,697 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,F9 B4B1045.2,No attempt,29 June 2018,09:42
58,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Telstar_19V"" title=""Telstar 19V"">Telstar 19V</a><sup class=""reference"" id=""cite_ref-sfn-20160226_351-0""><a href=""#cite_note-sfn-20160226-351"">[341]</a></sup>
</td>","7,075 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a><sup class=""reference"" id=""cite_ref-sfn-20180722_353-0""><a href=""#cite_note-sfn-20180722-353"">[343]</a></sup>
</td>","<td><a href=""/wiki/Telesat"" title=""Telesat"">Telesat</a>
</td>",Success,F9 B5,Success,22 July 2018,05:50
59,"<td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>","<td><a class=""mw-redirect"" href=""/wiki/Iridium_NEXT"" title=""Iridium NEXT"">Iridium NEXT</a>-7<br/>(10 satellites)<sup class=""reference"" id=""cite_ref-sdc20100616_160-5""><a href=""#cite_note-sdc20100616-160"">[152]</a></sup>
</td>","9,600 kg","<td><a href=""/wiki/Polar_orbit"" title=""Polar orbit"">Polar</a> <a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>",Success,F9 B5B1048,Success,25 July 2018,11:39
60,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a class=""mw-redirect"" href=""/wiki/Merah_Putih_(satellite)"" title=""Merah Putih (satellite)"">Merah Putih</a> (formerly Telkom 4)<sup class=""reference"" id=""cite_ref-365""><a href=""#cite_note-365"">[355]</a></sup><sup class=""reference"" id=""cite_ref-366""><a href=""#cite_note-366"">[356]</a></sup>
</td>","5,800 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/Telkom_Indonesia"" title=""Telkom Indonesia"">Telkom Indonesia</a>
</td>",Success,F9 B5B1046.2,Success,7 August 2018,05:18
61,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Telstar_18V"" title=""Telstar 18V"">Telstar 18V</a> / <a class=""mw-redirect"" href=""/wiki/Apstar"" title=""Apstar"">Apstar</a>-5C<sup class=""reference"" id=""cite_ref-sfn-20160226_351-1""><a href=""#cite_note-sfn-20160226-351"">[341]</a></sup>
</td>","7,060 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a><sup class=""reference"" id=""cite_ref-sfn-20180910_371-2""><a href=""#cite_note-sfn-20180910-371"">[361]</a></sup>
</td>","<td><a href=""/wiki/Telesat"" title=""Telesat"">Telesat</a>
</td>",Success,F9 B5,Success,10 September 2018,04:45
62,"<td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>","<td><a class=""mw-redirect"" href=""/wiki/SAOCOM_1A"" title=""SAOCOM 1A"">SAOCOM 1A</a><sup class=""reference"" id=""cite_ref-SAOCOM20090416_375-0""><a href=""#cite_note-SAOCOM20090416-375"">[365]</a></sup><sup class=""reference"" id=""cite_ref-saocom_revision_376-0""><a href=""#cite_note-saocom_revision-376"">[366]</a></sup>
</td>","3,000 kg","<td><a href=""/wiki/Sun-synchronous_orbit"" title=""Sun-synchronous orbit"">SSO</a>
</td>","<td><a href=""/wiki/Comisi%C3%B3n_Nacional_de_Actividades_Espaciales"" title=""Comisión Nacional de Actividades Espaciales"">CONAE</a>
</td>",Success,F9 B5B1048.2,Success,8 October 2018,02:22
63,"<td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>","<td><a href=""/wiki/Es%27hail_2"" title=""Es'hail 2"">Es'hail 2</a><sup class=""reference"" id=""cite_ref-eshail2_378-0""><a href=""#cite_note-eshail2-378"">[368]</a></sup>
</td>","5,300 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/Es%27hailSat"" title=""Es'hailSat"">Es'hailSat</a>
</td>",Success,F9 B5B1047.2,Success,15 November 2018,20:46
64,"<td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>","<td><a class=""mw-redirect"" href=""/wiki/SSO-A"" title=""SSO-A"">SSO-A</a> (<i>SmallSat Express</i>)
</td>","~4,000 kg","<td><a href=""/wiki/Sun-synchronous_orbit"" title=""Sun-synchronous orbit"">SSO</a>
</td>","<td><a href=""/wiki/Spaceflight_Industries"" title=""Spaceflight Industries"">Spaceflight Industries</a>
</td>",Success,F9 B5B1046.3,Success,3 December 2018,18:34:05
65,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-16"" title=""SpaceX CRS-16"">SpaceX CRS-16</a><br/>(Dragon C112.2♺ )
</td>","2,500 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 B5,Failure,5 December 2018,18:16
66,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/GPS_Block_III"" title=""GPS Block III"">GPS III</a>-<a href=""/wiki/List_of_GPS_satellites#Planned_launches"" title=""List of GPS satellites"">01</a> (<i>Vespucci</i>)
</td>","4,400 kg","<td><a href=""/wiki/Medium_Earth_orbit"" title=""Medium Earth orbit"">MEO</a>
</td>","<td><a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>
</td>",Success,F9 B5,No attempt,23 December 2018,13:51
67,"<td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>","<td nowrap=""""><a class=""mw-redirect"" href=""/wiki/Iridium_NEXT"" title=""Iridium NEXT"">Iridium NEXT</a>-8<br/>(10 satellites)<sup class=""reference"" id=""cite_ref-sdc20100616_160-6""><a href=""#cite_note-sdc20100616-160"">[152]</a></sup>
</td>","9,600 kg","<td><span class=""nowrap""><a href=""/wiki/Polar_orbit"" title=""Polar orbit"">Polar</a> <a class=""mw-redirect"" href=""/wiki/Low_Earth_Orbit"" title=""Low Earth Orbit"">LEO</a></span>
</td>","<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>","Success
",F9 B5B1049.2,Success,11 January 2019,15:31
